App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Balaenoptera bonaerensis,specimens,Number of specimens,GB,,,,,5,,,,,,
I,Balaenoptera bonaerensis,specimens,Number of specimens,NZ,,,,4,,,,,,,
I,Balaenoptera bonaerensis,specimens,,AU,,,8,,,,,,,,
I,Balaenoptera bonaerensis,specimens,,US,,2,,,,,,,,,
I,Balaenoptera borealis,baleen,kg,GB,,,,0.90,,,1.777,10.792,3.314,,
I,Balaenoptera borealis,baleen,Number of specimens,GB,,,,,6,,,,,,
I,Balaenoptera borealis,bone pieces,kg,GB,,,,,0.604,,,,,,
I,Balaenoptera borealis,bones,g,JP,,,,21,,,,,,,
I,Balaenoptera borealis,bones,kg,GB,,,,,0.875,,,4.273,0.277,,
I,Balaenoptera borealis,extract,Number of specimens,US,,,,,,,,7,,,
I,Balaenoptera borealis,plates,Number of specimens,GB,,,,,7,,,,,,
I,Balaenoptera borealis,skin pieces,kg,GB,,,,0.032,0.024,,,,,,
I,Balaenoptera borealis,skin pieces,Number of specimens,GB,,,,,8,,,,,,
I,Balaenoptera borealis,skin pieces,,GB,,82,47,,,,,,,,
I,Balaenoptera borealis,skins,kg,GB,,,,0.031,,,,,,,
I,Balaenoptera borealis,skins,Number of specimens,JP,,,,,,,4,,,,
I,Balaenoptera borealis,specimens,g,JP,,,25.43,4.43,,,,,,,
I,Balaenoptera borealis,specimens,g,US,0.2,0.15,,,,,,,,,
I,Balaenoptera borealis,specimens,kg,GB,,,,0.63,1.452,,1.777,3.059,2.706,,
I,Balaenoptera borealis,specimens,Number of specimens,ES,,,70,,,,,,,,
I,Balaenoptera borealis,specimens,Number of specimens,GB,,,,,21,,,,,,
I,Balaenoptera borealis,specimens,Number of specimens,JP,,,,,,,4,,,,
I,Balaenoptera borealis,specimens,Number of specimens,NL,,,,,2,,,,,,
I,Balaenoptera borealis,specimens,Number of specimens,US,,,,,,,1,,36,,
I,Balaenoptera borealis,specimens,,DE,63,,,,,,,,,,
I,Balaenoptera borealis,specimens,,ES,,40,20,,,,,,,,
I,Balaenoptera borealis,specimens,,GB,,,2,,,,,,,,
I,Balaenoptera borealis,specimens,,US,3,2,,,,,,,,,
I,Balaenoptera edeni,baleen,Number of specimens,US,,,,,,,,1,,,
I,Balaenoptera edeni,baleen,,US,,,,10,,,,,,,
I,Balaenoptera edeni,bones,g,JP,,,,34.33,,,,,,,
I,Balaenoptera edeni,bones,Number of specimens,NZ,,,,1,,,,,,,
I,Balaenoptera edeni,bones,Number of specimens,US,,,,,,,,1,,,
I,Balaenoptera edeni,skeletons,Number of specimens,ZA,,,,,,,1,,,,
I,Balaenoptera edeni,skeletons,,ZA,,,,1,1,,,,,,
I,Balaenoptera edeni,skins,Number of specimens,ZA,,,,,,,,10,,,
